Battle,(50/0),(49/0),(48/0),(47/0),(46/0),(45/0),(44/0),(43/0),(42/0),(41/0),(40/0),(39/0),(38/0),(37/0),(36/0),(35/0),(34/0),(33/0),(32/0),(31/0),(30/0),(29/0),(28/0),(27/0),(26/0),(25/0),(24/0),(23/0),(22/0),(21/0),(20/0),(19/0),(18/0),(17/0),(16/0),(15/0),(14/0),(13/0),(12/0),(11/0),(10/0),(9/0),(8/0),(7/0),(6/0),(5/0),(4/0),(3/0),(2/0),(1/1),(1/2),(1/3),(1/4),(1/5),(1/6),(1/7),(1/8),(1/9),(1/10),(1/11),(1/12),(1/13),(1/14),(1/15),(1/16),(1/17),(1/18),(1/19),(1/20),(1/21),(1/22),(1/23),(1/24),(1/25),(1/26),(1/27),(1/28),(1/29),(1/30),(1/31),(1/32),(1/33),(1/34),(1/35),(1/36),(1/37),(1/38),(1/39),(1/40),(1/41),(1/42),(1/43),(1/44),(1/45),(1/46),(1/47),(1/48),(1/49),(1/50),Win
(50/40),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.002,0.004,0.005,0.007,0.009,0.011,0.015,0.017,0.021,0.024,0.028,0.031,0.035,0.037,0.040,0.041,0.044,0.043,0.045,0.043,0.045,0.041,0.042,0.038,0.037,0.033,0.032,0.028,0.027,0.023,0.022,0.018,0.017,0.010,0.005,0.007,0.011,0.011,0.009,0.008,0.006,0.005,0.004,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.924
(50/39),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.003,0.004,0.006,0.008,0.011,0.014,0.017,0.020,0.023,0.028,0.030,0.035,0.037,0.040,0.041,0.044,0.044,0.046,0.044,0.045,0.042,0.042,0.038,0.038,0.034,0.033,0.028,0.027,0.023,0.022,0.018,0.017,0.014,0.009,0.004,0.006,0.011,0.009,0.008,0.006,0.005,0.004,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.937
(50/38),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.003,0.004,0.006,0.008,0.010,0.013,0.016,0.020,0.023,0.027,0.030,0.034,0.036,0.041,0.041,0.045,0.044,0.047,0.045,0.046,0.043,0.043,0.039,0.039,0.034,0.033,0.029,0.028,0.024,0.022,0.018,0.017,0.014,0.013,0.008,0.004,0.005,0.009,0.008,0.006,0.005,0.004,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.948
(50/37),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.003,0.005,0.007,0.009,0.012,0.015,0.019,0.022,0.026,0.029,0.034,0.036,0.040,0.042,0.045,0.045,0.047,0.045,0.047,0.044,0.044,0.040,0.040,0.035,0.034,0.029,0.028,0.024,0.023,0.019,0.017,0.014,0.013,0.010,0.006,0.003,0.004,0.008,0.006,0.005,0.004,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.957
(50/36),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.003,0.004,0.006,0.008,0.011,0.014,0.018,0.021,0.026,0.029,0.033,0.036,0.040,0.042,0.045,0.045,0.048,0.046,0.048,0.044,0.045,0.041,0.040,0.036,0.035,0.030,0.029,0.024,0.023,0.019,0.018,0.014,0.013,0.010,0.009,0.005,0.003,0.004,0.006,0.005,0.004,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.966
(50/35),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.002,0.004,0.005,0.008,0.010,0.013,0.017,0.020,0.025,0.028,0.033,0.036,0.040,0.042,0.046,0.046,0.048,0.047,0.048,0.045,0.046,0.041,0.041,0.036,0.035,0.030,0.029,0.025,0.023,0.019,0.018,0.014,0.013,0.011,0.010,0.007,0.004,0.002,0.003,0.005,0.004,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.973
(50/34),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.003,0.005,0.007,0.009,0.012,0.016,0.019,0.024,0.028,0.032,0.035,0.040,0.042,0.046,0.046,0.049,0.047,0.049,0.046,0.047,0.042,0.042,0.037,0.036,0.031,0.030,0.025,0.023,0.019,0.018,0.015,0.013,0.011,0.010,0.007,0.007,0.004,0.002,0.002,0.004,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.979
(50/33),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.003,0.004,0.006,0.008,0.011,0.015,0.018,0.023,0.027,0.032,0.035,0.040,0.042,0.046,0.047,0.050,0.048,0.050,0.047,0.047,0.043,0.043,0.038,0.037,0.032,0.030,0.025,0.024,0.020,0.018,0.015,0.013,0.011,0.010,0.007,0.007,0.005,0.003,0.001,0.002,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.983
(50/32),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.003,0.005,0.007,0.010,0.014,0.017,0.022,0.026,0.031,0.035,0.040,0.042,0.046,0.047,0.050,0.049,0.051,0.048,0.048,0.044,0.044,0.039,0.037,0.032,0.031,0.026,0.024,0.020,0.018,0.015,0.013,0.011,0.010,0.007,0.007,0.005,0.004,0.002,0.001,0.002,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.987
(50/31),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.003,0.004,0.007,0.009,0.013,0.016,0.021,0.025,0.030,0.034,0.039,0.042,0.047,0.047,0.051,0.050,0.052,0.049,0.049,0.045,0.045,0.039,0.038,0.033,0.031,0.026,0.025,0.020,0.019,0.015,0.013,0.011,0.010,0.007,0.007,0.005,0.004,0.003,0.002,0.001,0.001,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.990
